pair,sym1,sym2,p_value_5y,p_value_1y,halflife_1y,beta_5y,beta_1y,pass_5y,pass_1y,pass_halflife,pass_all
AG0-AU0,AG0,AU0,0.003518973077108162,0.030782340476617806,18.897572994787467,0.08648107024615805,0.11351701249066681,True,True,True,True
AG0-AL0,AG0,AL0,0.003124049955251958,0.003990493713398091,10.16597462804145,0.42767434640929164,0.3168293675848747,True,True,True,True
AG0-CU0,AG0,CU0,0.000479633600476594,0.00010992157706194053,7.809334943655053,3.6570400341725353,2.983754487434974,True,True,True,True
AG0-NI0,AG0,NI0,0.020765409718490217,4.639158393985268e-06,5.137768413900934,-12.237571998843192,-3.147945699080688,True,True,True,True
AG0-PB0,AG0,PB0,0.00043311237696193875,0.0005275928241212524,7.701711752759665,0.644439889010092,-0.013283371531056765,True,True,True,True
AG0-SN0,AG0,SN0,0.035589259129036634,0.000920397963053048,8.1057393245913,11.905208537305695,10.07033740543518,True,True,True,True
AG0-ZN0,AG0,ZN0,0.002073850707920303,0.006935548570154779,11.70078894334152,0.0491863746408484,-1.2923089505319842,True,True,True,True
AG0-HC0,AG0,HC0,0.019283275106109856,0.024730673257671764,17.06812513746857,-0.32080704638720414,-0.047212286457532754,True,True,True,True
AG0-I0,AG0,I0,0.0035126634747220838,0.013560430320080218,13.93430059100281,-0.011072461785810183,0.0043956386519319384,True,True,True,True
AG0-RB0,AG0,RB0,0.0081829167867709,0.007450562556524353,11.918830098230156,-0.3239290647992339,-0.08579832779962343,True,True,True,True
AG0-SF0,AG0,SF0,6.70235801591211e-06,0.01023761587329563,12.675500701090332,-0.6982591476781699,-0.44999497047639386,True,True,True,True
AG0-SM0,AG0,SM0,6.760775541152677e-05,0.003912497261547623,9.988046459264044,-0.38215398623995056,-0.2804807596730031,True,True,True,True
AG0-SS0,AG0,SS0,0.008689782604395152,0.0028414983896787277,9.741886914061338,-1.0471066560308895,-0.3128163813050167,True,True,True,True
AU0-AL0,AU0,AL0,0.0031141403874110065,0.0042650184911885046,10.484337108279556,4.883278580648538,0.3136280249791872,True,True,True,True
AU0-CU0,AU0,CU0,0.0008414274446569268,6.1700528549545e-05,7.528402321378106,37.29087619935964,19.386164531889246,True,True,True,True
AU0-NI0,AU0,NI0,0.04552993369079016,1.5458840878966226e-05,5.50072582218969,-108.69497775296253,-27.012186215522203,True,True,True,True
AU0-PB0,AU0,PB0,0.0016167885201801787,0.0006086743970999132,7.698479358155592,6.178968279829023,-0.41274373559027405,True,True,True,True
AU0-SN0,AU0,SN0,0.03694350137635555,0.0004905275437922477,7.289694567177599,131.61665638620346,67.54993779926737,True,True,True,True
AU0-ZN0,AU0,ZN0,0.0020597993149136184,0.000535359084213996,7.709090943048914,0.8478776213675525,-12.973102257370806,True,True,True,True
AU0-HC0,AU0,HC0,0.020030460421123206,0.008920331855611635,13.228843343778404,-4.158930802666682,-0.9640678618516193,True,True,True,True
AU0-I0,AU0,I0,0.002701963486466129,0.009053572264295415,12.685724701334976,-0.3002631644441195,-0.1282824455080252,True,True,True,True
AU0-RB0,AU0,RB0,0.007731439699774678,0.0012700039727522369,8.640538564741638,-4.063584766796831,-1.12787507544154,True,True,True,True
AU0-SF0,AU0,SF0,4.809762151682566e-06,0.0014135564343225621,8.284732789766354,-7.75459254943151,-4.402161595998402,True,True,True,True
AU0-SM0,AU0,SM0,3.9270604594822674e-05,0.0019521322522232437,8.701190338294486,-4.752599307932436,-2.7931777714820787,True,True,True,True
AU0-SS0,AU0,SS0,0.020398778629759976,0.0014996685625500163,8.335704329510488,-11.10582977357561,-3.364875770659364,True,True,True,True
AL0-CU0,AL0,CU0,0.009732563387310877,0.04970255918949993,16.66557528942446,3.049398802947916,2.636752389109509,True,True,True,True
AL0-NI0,AL0,NI0,0.21447294043286602,0.006477763520221466,9.524525148909127,3.549613352980506,1.819674960500963,False,True,True,False
AL0-PB0,AL0,PB0,0.008480394242001341,0.003273870476609798,7.969516941457791,0.2309860046557926,0.1627883219396163,True,True,True,True
AL0-SN0,AL0,SN0,0.00016929388225282195,0.00627654673254696,11.460766675329568,22.5001249692629,6.82619530307215,True,True,True,True
AL0-ZN0,AL0,ZN0,0.004455515619679679,0.3296080824173896,,0.6842959224432933,0.7059050573816896,True,False,False,False
AL0-HC0,AL0,HC0,0.17798946002270966,0.03132672222883228,13.562153344242203,0.044384048990025515,0.18346365520013122,False,True,True,False
AL0-I0,AL0,I0,0.0011839913373783493,0.011562677275140683,9.093453054740365,-0.0194071676551963,0.05586304819459751,True,True,True,True
AL0-RB0,AL0,RB0,0.1676347050231018,0.049072971361397696,15.45653870025973,0.0425213781048043,0.12986906416085417,False,True,True,False
AL0-SF0,AL0,SF0,0.008804997167207352,0.17725649023048723,,0.3586945032832161,0.16819669363418813,True,False,False,False
AL0-SM0,AL0,SM0,0.00803159628674372,0.03884589348127991,14.595740750110934,0.23335429314314587,0.201622901772477,True,True,True,True
AL0-SS0,AL0,SS0,0.20274388508476743,0.016904254488050986,17.40597418768587,0.35982593837344135,0.2364264367478078,False,True,True,False
CU0-NI0,CU0,NI0,0.09301145545174855,0.0016781007806412412,8.193538799653028,-0.29991116032182086,-0.07532934098239448,False,True,True,False
CU0-PB0,CU0,PB0,0.00042382685013718106,0.004149927419744154,8.19054849765701,0.10707711324357279,0.02171734568550053,True,True,True,True
CU0-SN0,CU0,SN0,0.04266281748955267,1.0513907747660313e-05,4.839012696948254,5.070527795586716,3.693752843158106,True,True,True,True
CU0-ZN0,CU0,ZN0,0.015024445336223881,0.008359225077447067,11.842440365447061,0.12163567690266766,-0.24207653989315517,True,True,True,True
CU0-HC0,CU0,HC0,0.08510634194651878,0.019515631772837324,15.84613910423581,-0.015257368365258784,-0.009183836340672115,False,True,True,False
CU0-I0,CU0,I0,0.003166929717868296,0.015434303962519134,14.469812646057065,-0.0017391362265553472,0.001178505243947284,True,True,True,True
CU0-RB0,CU0,RB0,0.06469832113708256,0.005874904643911284,11.108965116323175,-0.017077219458685216,-0.016804321124635545,False,True,True,False
CU0-SF0,CU0,SF0,0.000366760121393623,0.012941542084397238,13.318584506313815,-0.006511923811587887,-0.09130542793860857,True,True,True,True
CU0-SM0,CU0,SM0,0.001428660250087802,0.00530817187139742,10.589097360593449,0.00833775819733948,-0.05068661757497837,True,True,True,True
CU0-SS0,CU0,SS0,0.06053917644581712,0.011109811502060031,13.819925873531101,-0.03944061326472138,-0.025751831381403963,False,True,True,False
NI0-PB0,NI0,PB0,0.0071933022571693435,0.005281834392812575,7.7949074340646085,-0.011136787139708976,0.032488471963039285,True,True,True,True
NI0-SN0,NI0,SN0,0.08776731987601372,0.007612872711161353,11.540882528794032,0.2877412198821351,0.22544648702544626,False,True,True,False
NI0-ZN0,NI0,ZN0,0.0033987299762332276,0.06419119000908764,,0.02885861401511743,0.2007340938298679,True,False,False,False
NI0-HC0,NI0,HC0,0.1332273291648649,0.021224937791161635,16.22211845021024,0.005096285399117482,0.01942399241989889,False,True,True,False
NI0-I0,NI0,I0,0.002919512623212102,0.017814792685773653,15.327225808444162,-0.0006714574967612288,0.003857292564703158,True,True,True,True
NI0-RB0,NI0,RB0,0.09727687917513606,0.0065868116041312786,11.758662360768955,0.006142152943448714,0.02040996346472966,False,True,True,False
NI0-SF0,NI0,SF0,0.0002257554952768209,0.006665124059315945,10.6842097373283,0.02707102310731365,0.06898714254426354,True,True,True,True
NI0-SM0,NI0,SM0,0.0007826871248730856,0.0069207458718007105,9.329873698722551,0.01603649668702091,0.050795673511605056,True,True,True,True
NI0-SS0,NI0,SS0,0.03401157131549116,0.0011348077848810662,8.160126002224807,0.04723248252602319,0.0801652192267677,True,True,True,True
PB0-SN0,PB0,SN0,0.03283069245092618,0.008256261369808398,11.694193171600672,18.06667013432839,4.737126306391541,True,True,True,True
PB0-ZN0,PB0,ZN0,0.002657272592343914,0.2758011055507801,,0.3327374267431341,1.0597857699436386,True,False,False,False
PB0-HC0,PB0,HC0,0.01326488497227059,0.037838281732146185,20.426738385394042,-0.3406421245443186,0.07294996144110896,True,True,True,True
PB0-I0,PB0,I0,0.0033659112988482826,0.009909570613212682,13.290655051791303,-0.014661982817506101,0.04591399201429964,True,True,True,True
PB0-RB0,PB0,RB0,0.007854751464523276,0.02931662379076782,17.7021379405222,-0.34008164872115143,0.05566770382204381,True,True,True,True
PB0-SF0,PB0,SF0,0.0001415980420756104,0.12632729068336823,,-0.5893625590602791,0.12749405417656903,True,False,False,False
PB0-SM0,PB0,SM0,0.00045873965175039345,0.04188759175074628,15.720562538761275,-0.22432566320800928,0.20695432464381966,True,True,True,True
PB0-SS0,PB0,SS0,0.014725872689320886,0.024749243298943256,18.11735438044271,-0.9001312247594344,0.1508589004515393,True,True,True,True
SN0-ZN0,SN0,ZN0,0.0014116261286740625,0.0066429865800646856,11.121967500872257,0.02444925852752131,-0.05486613052235372,True,True,True,True
SN0-HC0,SN0,HC0,0.1545080227506181,0.01697161253761755,14.747528894041562,0.0008757730915741131,-0.0027503496134637585,False,True,True,False
SN0-I0,SN0,I0,0.001087062150179473,0.010595758994744551,12.940606686924452,-0.00094177454133979,-0.00029623494749826874,True,True,True,True
SN0-RB0,SN0,RB0,0.14103746767636077,0.006640505927404627,11.251203123488327,0.0007696807398093389,-0.0036757044633111803,False,True,True,False
SN0-SF0,SN0,SF0,0.00145149210770084,0.02176702142375459,16.647353765127033,0.009951791695955442,-0.01456025386630486,True,True,True,True
SN0-SM0,SN0,SM0,0.0015407354802812394,0.007306088608081856,11.67602907865934,0.007882800532934555,-0.008602423215315175,True,True,True,True
SN0-SS0,SN0,SS0,0.12525993329213936,0.02560231625465477,18.433043247355467,0.012817500911379346,0.0033712345416648513,False,True,True,False
ZN0-HC0,ZN0,HC0,0.16600858678932684,0.043131426379994314,10.039083224057258,0.044203967467452136,0.09274776636867722,False,True,True,False
ZN0-I0,ZN0,I0,0.0010875544855337557,0.010048638608700188,12.423365733204927,-0.018187901507244975,0.018518650691378678,True,True,True,True
ZN0-RB0,ZN0,RB0,0.171224952271262,0.0011591671275847431,6.161812193339316,0.05135888150421827,0.09164360731905721,False,True,True,False
ZN0-SF0,ZN0,SF0,0.0021017565621418914,0.002028842070144145,6.215808596151746,0.3609410847820655,0.28305341991867594,True,True,True,True
ZN0-SM0,ZN0,SM0,0.0013133939863684213,0.0014541207108296874,8.269281479851376,0.25175385135726064,0.1799909706877515,True,True,True,True
ZN0-SS0,ZN0,SS0,0.0652061286671875,0.0035059501025635265,11.34108436383152,0.47828288165880484,0.19083169861836063,False,True,True,False
HC0-I0,HC0,I0,0.008646722260324573,0.01966782304064726,11.901105144511025,0.09584771641530526,0.2369930183751002,True,True,True,True
HC0-RB0,HC0,RB0,2.1427274752559115e-07,0.24676719870775976,,0.927941108732552,0.8839718021427609,True,False,False,False
HC0-SF0,HC0,SF0,1.6571627513853018e-05,0.06286073728931753,,1.5494529907902777,2.2469304574039413,True,False,False,False
HC0-SM0,HC0,SM0,9.092707526354323e-05,0.004010903737989448,10.03937300776238,0.968390805528752,1.6977795364562145,True,True,True,True
HC0-SS0,HC0,SS0,0.04798985930763748,0.006083258170143965,13.89695072551654,1.9478414465452147,1.5189129582019798,True,True,True,True
I0-RB0,I0,RB0,0.17711912348334646,0.05568402857697137,,2.48877299949757,2.580507886729036,False,False,False,False
I0-SF0,I0,SF0,0.0007001964644820958,0.09459794725706039,,-0.3798813318728109,5.706896774678546,True,False,False,False
I0-SM0,I0,SM0,0.0011172275946723413,0.0026204118612042117,9.179103600332345,-0.028937591608604755,5.666997161572397,True,True,True,True
I0-SS0,I0,SS0,0.11762157104839077,0.020751529889162464,18.698712781079646,-0.9126185770186741,3.0843931636150517,False,True,True,False
RB0-SF0,RB0,SF0,2.7931897950127483e-05,0.002812628907142655,5.743915908906255,1.7454356082073768,2.6904586628142813,True,True,True,True
RB0-SM0,RB0,SM0,0.0001913064773091547,0.00039358634275132664,6.814217142065523,1.0850368372258903,2.035731641652796,True,True,True,True
RB0-SS0,RB0,SS0,0.02667607378066437,0.002867773358899984,11.714070901542485,2.1973783720984223,1.8288660950140558,True,True,True,True
SF0-SM0,SF0,SM0,4.179588124227332e-05,0.007932917590031244,7.06360947114302,0.6016975139020674,0.7182264218003798,True,True,True,True
SF0-SS0,SF0,SS0,1.9299175750110965e-07,0.001045463178093873,8.18982668346769,1.1094615983123057,0.7093658195397045,True,True,True,True
SM0-SS0,SM0,SS0,0.00016955557038558845,0.004853034556160862,9.63993664542653,1.6027792816035196,0.7269732287644778,True,True,True,True
