date,pair,signal,z_score,beta,alpha,innovation,days_held,phase,reason,R,symbol_x,symbol_y
2025-04-07,AG-NI,open_long,-1.9725079169663613,0.2082597980910397,9.840427332655878,-0.05741190380473604,1,signal_generation,z_threshold,0.0002896035214594269,AG,NI
2025-04-11,AG-NI,close,0.060514564423996615,0.2076261256025993,9.840055461154689,0.0018097089687998391,0,signal_generation,z_converge,0.00028262034423477597,AG,NI
2025-03-14,ZN-SN,open_short,2.1431226659803735,0.5953171013025785,6.530675969531306,0.08046327759856808,1,signal_generation,z_threshold,0.0006111738769261136,ZN,SN
2025-03-18,ZN-SN,close,0.13502960402389086,0.5965097049562486,6.53091209962958,0.005195336185463972,0,signal_generation,z_converge,0.0006017473342533117,ZN,SN
2025-04-07,ZN-SN,open_long,-1.5090144748753367,0.5979137271150307,6.531014484755938,-0.057035953426943564,1,signal_generation,z_threshold,0.0006005742495791723,ZN,SN
2025-04-11,ZN-SN,close,-0.23181906375185835,0.5920451274962036,6.5295781103128006,-0.008936417145234188,0,signal_generation,z_converge,0.0006094154175296369,ZN,SN
2025-04-07,AU-CU,open_long,-1.7051730209642983,-1.2197119880090241,19.302844540571332,-0.10079287293149619,1,signal_generation,z_threshold,0.0026756161139091946,AU,CU
2025-04-23,AU-CU,close,0.09785619591785694,-1.2072535997174516,19.30399060795045,0.0059101551096283345,0,signal_generation,z_converge,0.0027114855377283853,AU,CU
2024-09-30,SF-NI,open_short,1.892186802116296,-0.8662397339018841,19.37742639772288,0.1037700064739937,1,signal_generation,z_threshold,0.0019934815034478963,SF,NI
2024-10-10,SF-NI,close,0.15043486082818475,-0.8624149702668896,19.378179391164043,0.008376645505654423,0,signal_generation,z_converge,0.001973830835722834,SF,NI
2025-04-07,SF-NI,open_long,-2.349289391674442,-0.8805735169851393,19.37214670752532,-0.09329532390468387,1,signal_generation,z_threshold,0.0008745706887515553,SF,NI
2025-04-10,SF-NI,close,0.2863956319639805,-0.882739411792442,19.37166742606226,0.011731189154465582,0,signal_generation,z_converge,0.0008645997567613972,SF,NI
2025-07-22,SF-NI,open_short,1.7223908358213227,-0.8830121360140117,19.367158480609962,0.06111718869452787,1,signal_generation,z_threshold,0.0005957329066496752,SF,NI
2025-07-24,SF-NI,close,0.1998041925342726,-0.8813624713795448,19.36743686678231,0.007203554381463917,0,signal_generation,z_converge,0.000588276268199549,SF,NI
2025-07-25,SF-NI,open_short,1.794772693231785,-0.8772149157902582,19.36690827373865,0.06490534652185076,1,signal_generation,z_threshold,0.0006245205455887689,SF,NI
2025-07-30,SF-NI,close,-0.09833071325269627,-0.8785859241607311,19.366027948720284,-0.003627386463298521,0,signal_generation,z_converge,0.0006275161757948662,SF,NI
2025-07-31,SF-NI,open_long,-1.7091896687488635,-0.8822373949504413,19.364131842859884,-0.06273712280875543,1,signal_generation,z_threshold,0.0006606004798201262,SF,NI
2025-08-04,SF-NI,close,-0.22562523192482964,-0.8845906978015604,19.36327626727911,-0.008422651684904636,0,signal_generation,z_converge,0.0006584665290940052,SF,NI
